#,Cadastral Code,X,Y,Name,Address,Property Owner,Land Use Purpose,Access into property,Parking space markings,Tenant Area (Sq.m),# of Tenant Parking,Public Area (Sq.m),# of Public Parking,Public parking price,Distance to Public Transport - Bus,Access to Public Transport - Bus,Distance to Public Transport Metro,Access to Public Transport Merto,Comment 
294,01.11.10.012.029,485550.5226,4627790.224,Police,"Omar Khizanishvili St., N 47",State,Government/Police,Yes,Marked,,,,31,Free,within 400m,Good,beyond 800m,-,
295,01.11.10.012.026,485722.286,4627866.298,Gldani Vocational Education and Training Center,"Ilia Vekua St., N 44",State,Education,Yes,Marked,,,,44,Free,within 400m,Good,beyond 800m,-,
296,01.11.10.007.035,485896.9893,4627988.503,Fresco,"Omar Khizanishvili St., N 57","LLC ""Fresco Shopping Center""",Retail,Yes,Marked,,,,21,Paid,within 400m,Good,beyond 800m,-,"15 minutes free, 1.5 hour free for purchase of 5 GEL, then 5 GEL"
297,01.11.10.007.027,485936.8383,4627985.253,Near by WheelWay drive,"Ilia Vekua St., N 52",Gela Kurdiani,Retail,Yes,Marked,,,,16,Free,within 400m,Good,beyond 800m,-,
298,01.11.10.007.036,485950.1475,4628019.58,Greenway,"Ilia Vekua St., N 54","""Artanuj Invest Group"" LLC",Service,Yes,Marked,,,,8,Free,within 400m,Good,beyond 800m,-,
299,01.11.10.006.035,486070.7955,4628192.828,Second shopping center,"Ilia Vekua St., N 64","LLC ""Second Trade Center""",Retail,Yes,Unmarked,,,460,17,Free,within 400m,Good,beyond 800m,-,
300,01.11.10.006.020,486056.0035,4628294.759,Near by Sukhishvilis' academy,"Massive Gldani, between the VII and VIII micro/district, ( area 06/020)",Tbilisi Municipality,Entertainment & Recreation,Yes,Unmarked,,,390,15,Free,within 400m,Good,beyond 800m,-,
301,01.11.05.027.019,483389.3032,4627493.677,Rugby stadium,"Sarajishvili St., N 27","A. (A). I.P. ""Georgia Rugby Union""",Entertainment & Recreation,Yes,Unmarked,520,20,,,Free,within 400m,Good,beyond 800m,-,
302,01.11.05.029.215,484446.6379,4627590.883,Spar,"Hero Cursants St., N 2a",Nike Ltd. 2009,Retail,Yes,Unmarked,,,286,11,Free,within 400m,Good,beyond 800m,-,
303,01.11.05.032.001,484139.3416,4627610.551,Police Academy,"Hero Cursants St., N 4","State.   LLC ""Asset Management and Development Company""",Government/Police,No,Marked,,146,,,Free,within 400m,Good,beyond 800m,-,
304,01.11.05.029.210,484306.6206,4627360.197,Police,"Kerchi St., N 42",State,Government/Police,Yes,Marked,,,,33,Free,within 400m,Good,beyond 800m,-,
305,01.11.05.036.036,483483.5171,4626356.745,Gldani district administration,"Sarajishvili st., N 1g",Tbilisi Municipality,Government/Police,Yes,Marked,,18,,,Free,within 400m,Good,within 800m,Bad,
306,01.11.12.018.173,484472.3432,4626546.306,Astra Park Tbilisi,"Omar Khizanishvili St, N 2","LLC ""Gigant-94""",Entertainment & Recreation,Yes,Marked,,,300,47,Paid,within 400m,Good,within 800m,Good,"2 GEL. There is a residential building on the same cadastral, which has a separate entrance and its used for residents (parking is not counted)"
307,01.11.12.020.069,483466.4807,4626139.211,Happy Day,"Davit Sarajishvili St, N 1","""Friendship"" LLC",Retail,Yes,Unmarked,,,260,10,Free,within 400m,Bad,within 800m,Bad,Only for costumers of Happy 
308,01.11.04.025.034,483214.367,4627417.966,Bagration,"Sarajishvili avenue, N 12","Joint Stock Company ""Bagrationi-1882""",Other,Yes,Unmarked,165,30,,,Free,within 400m,Good,beyond 800m,-,"Factory, Bagration"
309,01.11.04.026.155,483369.4263,4626666.569,Near by Sarajishvili Head Office,Sarajishvili avenue N 4,"S.S. ""Sarajishvili""",Other,Yes,Marked,,10,,,Free,within 400m,Good,within 800m,Bad,Only for employees 
310,01.11.04.026.020,483374.4373,4626198.562,Dunkin Donuts,"
Sarajishvili Ave., nearby wine factory, (area N26/20)","Joint Stock Company ""Visol Petroleum Georgia""",Entertainment & Recreation,Yes,Unmarked,,,130,5,Free,within 400m,Good,within 800m,Bad,Only for Dunkin' customers
